referenceID,total_covered_bases,total_polymorphic_bases,total_polymorphic_rate,dominant_allele_distr_mean,dominant_allele_distr_sd,dominant_allele_distr_perc_10,dominant_allele_distr_perc_20,dominant_allele_distr_perc_30,dominant_allele_distr_perc_40,dominant_allele_distr_perc_50,dominant_allele_distr_perc_60,dominant_allele_distr_perc_70,dominant_allele_distr_perc_80,dominant_allele_distr_perc_90,dominant_allele_distr_perc_95,dominant_allele_distr_perc_98,dominant_allele_distr_perc_99
contig_2493,830,5,0.006024096385542169,0.7193006993006994,0.02710762288986817,0.7,0.7,0.7,0.7,0.7,0.7109090909090909,0.7218181818181818,0.7356643356643356,0.7524475524475525,0.7608391608391609,0.765874125874126,0.7675524475524476
contig_10730,9124,121,0.0132617273125822,0.7003966139628092,0.06495894998542198,0.6,0.6666666666666666,0.6875,0.7,0.7,0.7222222222222222,0.75,0.7619047619047619,0.7692307692307693,0.7777777777777778,0.7857142857142857,0.7887218045112782
contig_24299,11074,45,0.004063572331587502,0.6563337347780073,0.09270917433832479,0.5105263157894737,0.5696428571428571,0.5905882352941176,0.6318181818181818,0.6842105263157895,0.7,0.7218181818181817,0.7529411764705882,0.7692307692307693,0.7824175824175824,0.7894736842105263,0.7894736842105263
contig_16935,357,1,0.0028011204481792717,0.5625,0.0,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625
contig_21151,1238,19,0.015347334410339256,0.6209387104123945,0.0692364322463545,0.5454545454545454,0.5454545454545454,0.5761904761904761,0.5866666666666667,0.6,0.6606060606060605,0.6666666666666666,0.6799999999999999,0.7168831168831169,0.7278787878787879,0.7311515151515151,0.7322424242424243
contig_24442,2285,6,0.00262582056892779,0.6383838383838384,0.07430252497617368,0.55,0.6,0.6181818181818182,0.6363636363636364,0.6515151515151515,0.6666666666666666,0.6833333333333333,0.7,0.7136363636363636,0.7204545454545455,0.7245454545454546,0.725909090909091
contig_19992,65308,14,0.00021436883689593923,0.7446533919665275,0.06132468387089235,0.7272727272727273,0.740909090909091,0.75,0.7523809523809524,0.7633053221288515,0.7683257918552037,0.7692307692307693,0.7726495726495727,0.7833333333333333,0.78703007518797,0.7884962406015038,0.788984962406015
contig_18254,340,53,0.15588235294117647,0.6357394572805246,0.11735338830909146,0.4766045548654244,0.5,0.5582222222222223,0.6137566137566138,0.6363636363636364,0.6818181818181818,0.7311004784688995,0.7666666666666667,0.7770609318996416,0.7909255898366606,0.7931034482758621,0.7931034482758621
contig_12101,1663,30,0.01803968731208659,0.604918414918415,0.06866578183280136,0.53,0.5454545454545454,0.5719696969696969,0.6,0.6,0.6145454545454545,0.6363636363636364,0.6490909090909093,0.7,0.7149999999999999,0.7272727272727273,0.7272727272727273
contig_20518,59,0,0.0,,,,,,,,,,,,,,
