Assembly	contigs(>=0bp)	contigs(>=1000bp)	contigs(>=5000bp)	contigs(>=10000bp)	contigs(>=25000bp)	contigs(>=50000bp)	Totallength(>=0bp)	Totallength(>=1000bp)	Totallength(>=5000bp)	Totallength(>=10000bp)	Totallength(>=25000bp)	Totallength(>=50000bp)	contigs	Largestcontig	Totallength	Referencelength	GC(%)	ReferenceGC(%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	misassemblies	misassembledcontigs	Misassembledcontigslength	localmisassemblies	unalignedmis.contigs	unalignedcontigs	Unalignedlength	Genomefraction(%)	Duplicationratio	N'sper100kbp	mismatchesper100kbp	indelsper100kbp	Largestalignment	Totalalignedlength	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
Bacillus_subtilis_100	1	1	1	1	1	1	4045540	4045540	4045540	4045540	4045540	4045540	1	4045540	4045540	4045677	43.94	43.94	4045540	4045540	4045540	4045540	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.995	1.000	0.00	0.42	1.41	4045540	4045540	4045540	4045540	4045540	4045540	1	1	1	1
Bacillus_subtilis_10	1	1	1	1	1	1	4045472	4045472	4045472	4045472	4045472	4045472	1	4045472	4045472	4045677	43.94	43.94	4045472	4045472	4045472	4045472	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.997	1.000	0.00	5.14	7.29	4045472	4045472	4045472	4045472	4045472	4045472	1	1	1	1
Bacillus_subtilis_120	1	1	1	1	1	1	4045609	4045609	4045609	4045609	4045609	4045609	1	4045609	4045609	4045677	43.94	43.94	4045609	4045609	4045609	4045609	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.996	1.000	0.00	0.40	1.06	4045609	4045609	4045609	4045609	4045609	4045609	1	1	1	1
Bacillus_subtilis_140	1	1	1	1	1	1	4045599	4045599	4045599	4045599	4045599	4045599	1	4045599	4045599	4045677	43.94	43.94	4045599	4045599	4045599	4045599	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.996	1.000	0.00	0.40	1.09	4045599	4045599	4045599	4045599	4045599	4045599	1	1	1	1
Bacillus_subtilis_160	1	1	1	1	1	1	4045545	4045545	4045545	4045545	4045545	4045545	1	4045545	4045545	4045677	43.94	43.94	4045545	4045545	4045545	4045545	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.995	1.000	0.00	0.42	1.36	4045545	4045545	4045545	4045545	4045545	4045545	1	1	1	1
Bacillus_subtilis_20	1	1	1	1	1	1	4045548	4045548	4045548	4045548	4045548	4045548	1	4045548	4045548	4045677	43.94	43.94	4045548	4045548	4045548	4045548	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.995	1.000	0.00	0.57	1.61	4045548	4045548	4045548	4045548	4045548	4045548	1	1	1	1
Bacillus_subtilis_40	1	1	1	1	1	1	4045554	4045554	4045554	4045554	4045554	4045554	1	4045554	4045554	4045677	43.94	43.94	4045554	4045554	4045554	4045554	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.995	1.000	0.00	0.42	1.29	4045554	4045554	4045554	4045554	4045554	4045554	1	1	1	1
Bacillus_subtilis_5	18	18	18	18	16	16	3820518	3820518	3820518	3820518	3787671	3787671	18	520440	3820518	4045677	43.90	43.94	291293	265572	238304	200360	5	6	9	10	0	0	0	3	0	0 + 1 part	6147	94.109	1.002	0.00	107.32	88.38	516812	3809369	291293	265572	238304	200359	5	6	9	10
Bacillus_subtilis_60	1	1	1	1	1	1	4045529	4045529	4045529	4045529	4045529	4045529	1	4045529	4045529	4045677	43.94	43.94	4045529	4045529	4045529	4045529	1	1	1	1	0	0	0	1	0	0 + 0 part	0	99.996	1.000	0.00	0.40	1.04	4045529	4045529	4045529	4045529	4045529	4045529	1	1	1	1
Bacillus_subtilis_80	1	1	1	1	1	1	4045101	4045101	4045101	4045101	4045101	4045101	1	4045101	4045101	4045677	43.94	43.94	4045101	4045101	4045101	4045101	1	1	1	1	0	0	0	2	0	0 + 0 part	0	99.984	1.000	0.00	0.42	1.41	4045101	4045101	4045101	4045101	4045101	4045101	1	1	1	1
Enterococcus_faecalis_100	2	2	2	1	1	1	2855132	2855132	2855132	2845424	2845424	2845424	2	2845424	2855132	2845392	37.56	37.52	2845424	2845424	2845424	2845424	1	1	1	1	0	0	0	0	0	0 + 1 part	9584	99.999	1.000	0.00	2.53	1.23	2845424	2845548	2845424	2845424	2845424	2845424	1	1	1	1
Enterococcus_faecalis_10	1	1	1	1	1	1	2844252	2844252	2844252	2844252	2844252	2844252	1	2844252	2844252	2845392	37.53	37.52	2844252	2844252	2844252	2844252	1	1	1	1	0	0	0	0	0	0 + 1 part	563	99.939	1.000	0.00	8.12	7.91	2843689	2843689	2843689	2843689	2843689	2843689	1	1	1	1
Enterococcus_faecalis_120	1	1	1	1	1	1	2845428	2845428	2845428	2845428	2845428	2845428	1	2845428	2845428	2845392	37.52	37.52	2845428	2845428	2845428	2845428	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.999	1.000	0.00	2.53	1.16	2845428	2845428	2845428	2845428	2845428	2845428	1	1	1	1
Enterococcus_faecalis_140	2	2	2	2	1	1	2867788	2867788	2867788	2867788	2845442	2845442	2	2845442	2867788	2845392	37.64	37.52	2845442	2845442	2845442	2845442	1	1	1	1	0	0	0	0	0	0 + 1 part	21559	100.000	1.000	0.00	2.53	1.16	2845442	2846229	2845442	2845442	2845442	2845442	1	1	1	1
Enterococcus_faecalis_160	3	3	2	1	1	1	2854496	2854496	2850933	2845427	2845427	2845427	3	2845427	2854496	2845392	37.56	37.52	2845427	2845427	2845427	2845427	1	1	1	1	0	0	0	0	0	1 + 1 part	8826	99.999	1.000	0.00	2.50	1.19	2845427	2845670	2845427	2845427	2845427	2845427	1	1	1	1
Enterococcus_faecalis_20	1	1	1	1	1	1	2845425	2845425	2845425	2845425	2845425	2845425	1	2845425	2845425	2845392	37.52	37.52	2845425	2845425	2845425	2845425	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.999	1.000	0.00	2.64	1.76	2845425	2845425	2845425	2845425	2845425	2845425	1	1	1	1
Enterococcus_faecalis_40	1	1	1	1	1	1	2845422	2845422	2845422	2845422	2845422	2845422	1	2845422	2845422	2845392	37.52	37.52	2845422	2845422	2845422	2845422	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.999	1.000	0.00	2.53	1.30	2845422	2845422	2845422	2845422	2845422	2845422	1	1	1	1
Enterococcus_faecalis_5	24	24	24	24	23	11	2468666	2468666	2468666	2468666	2450604	1982223	24	591991	2468666	2845392	37.52	37.52	160350	132362	67249	41519	4	5	9	15	0	0	0	2	0	0 + 5 part	21853	85.821	1.002	0.00	135.38	105.98	591991	2446029	160349	129140	66412	41414	4	5	9	15
Enterococcus_faecalis_60	1	1	1	1	1	1	2845426	2845426	2845426	2845426	2845426	2845426	1	2845426	2845426	2845392	37.52	37.52	2845426	2845426	2845426	2845426	1	1	1	1	0	0	0	0	0	0 + 0 part	0	99.999	1.000	0.00	2.64	1.27	2845426	2845426	2845426	2845426	2845426	2845426	1	1	1	1
