Genome	X2_cov.Relative.Abundance....	X3_cov.Relative.Abundance....	X4_cov.Relative.Abundance....	X5_cov.Relative.Abundance....	X1_cov.Relative.Abundance....
bin.0000	0.33433658	0.42109957	0.554009	0.5388682	0.53571033
bin.0001	0.22035597	0.24325264	0.1880168	0.18561354	0.19196679
bin.0002	0.16438948	0.1527738	0.15135261	0.15495448	0.154647
bin.0003	1.9574466	2.2770674	1.6603777	1.724382	1.4046042
bin.0004	0.103402	0.07323086	0.12135953	0.119480215	0.13486508
bin.0005	0.059892938	0.064395286	0.090707384	0.0883642	0.11485902
bin.0006	0.3374725	0.28317195	0.25070688	0.25575206	0.22256595
bin.0007	6.409999	2.7810814	10.94718	10.198807	11.576409
bin.0008	0.32591227	0.27643147	0.26054105	0.27214924	0.30372226
bin.0009	0.15564878	0.1681084	0.13316032	0.1440623	0.12232847
bin.0010	0.34229404	0.5360524	0.3554575	0.35921407	0.2914745
bin.0011	0.39323172	0.533174	0.29255226	0.30494246	0.23621239
bin.0012	0.064236276	0.1315375	0.06305289	0.062274203	0.09303422
bin.0013	0.85711324	0.9166033	0.59235483	0.6280747	0.5272768
bin.0014	1.0755417	0.13876384	1.2170836	1.2443023	2.001155
bin.0015	0.4265894	0.39963052	0.3056473	0.31665742	0.3202243
bin.0016	0.10383377	0.10382856	0.097594365	0.10046473	0.111757345
bin.0017	0.94215053	1.6361984	0.98541254	1.0127527	0.868852
bin.0018	0.5436615	0.68743545	0.7640483	0.72256875	0.7156254
bin.0019	0.1790669	0.18979122	0.17655513	0.1764561	0.16565599
bin.0020	0.07595488	0.06531423	0.079944685	0.08482226	0.114779204
bin.0021	0.17110948	0.15849268	0.13090487	0.12752491	0.1253759
bin.0022	0.8178901	0.48767042	0.7978931	0.8294179	0.98791516
bin.0023	0.12831795	0.06405862	0.29314557	0.2643026	0.4074942
bin.0024	0.16753551	0.16584398	0.12068331	0.12364047	0.11209101
bin.0025	0.11319547	0.07459362	0.08236273	0.08622341	0.11096866
bin.0026	1.2322352	1.3772945	1.0092937	1.0731958	1.2890426
bin.0027	0.11728195	0.17399812	0.094194315	0.100644164	0.08686843
bin.0028	0.14965346	0.122007534	0.20175968	0.19662449	0.20211416
bin.0029	0.24748781	0.17590573	0.2054428	0.21247692	0.22334693
bin.0030	0.27738056	0.40656713	0.23881717	0.2434798	0.2111462
bin.0031	0.12482953	0.13013916	0.13186598	0.13349761	0.14820993
bin.0032	0.1295181	0.07520018	0.1970997	0.18210164	0.23420814
bin.0033	0.24761958	0.24298435	0.25444788	0.25702602	0.18747579
bin.0034	3.053875	3.2218914	2.3873034	2.4704862	2.149201
bin.0035	0.41841808	0.53158176	0.29993713	0.30932155	0.23878433
bin.0036	0.3060994	0.23512577	0.24893214	0.2606095	0.2746435
bin.0037	0.40686518	0.3187343	0.31911844	0.32400975	0.30236444
bin.0038	2.0206895	2.225099	1.5126636	1.5676951	1.2122439
bin.0039	0.6441773	0.5898341	0.49893644	0.5410449	0.5386509
bin.0040	0.36452428	0.29367292	0.33227056	0.34048098	0.35968235
bin.0041	1.4357164	1.6362705	1.0177137	1.0488077	0.7857833
bin.0042	1.1307446	1.6322097	0.8120897	0.84185016	0.55998373
bin.0043	0.480412	0.12955263	0.9996571	0.93280596	1.341324
bin.0044	0.25353894	0.19985022	0.17898321	0.18791373	0.19165905
bin.0045	0.13571042	0.18484934	0.15293123	0.15017226	0.12133919
bin.0046	0.5662169	0.625673	0.39354643	0.4164461	0.27649164
bin.0047	3.7075882	6.25834	3.4078996	3.451166	3.767914
bin.0048	0.3791083	0.541465	0.26121613	0.28337112	0.33231053
bin.0049	0.21876267	0.23916323	0.14045571	0.15003802	0.14470607
bin.0050	0.1679988	0.1459761	0.13766627	0.13694471	0.14162455
bin.0051	0.11236184	0.124213934	0.09002584	0.08264371	0.09611776
bin.0052	4.6137285	4.8562303	4.169633	4.2150717	3.5690897
bin.0053	0.15259443	0.13790037	0.13494584	0.13616444	0.14281835
bin.0054	0.25901213	0.3082254	0.21225822	0.20641193	0.13135481
bin.0055	0.701727	0.7939146	0.5059843	0.52620363	0.41115022
bin.0056	0.14815274	0.23063989	0.1721254	0.17018756	0.15827535
bin.0057	0.19674769	0.18680535	0.15991372	0.16685098	0.15002595
bin.0058	0.3660113	0.34058824	0.27063614	0.2756596	0.2521275
bin.0059	0.21869405	0.15044644	0.23499848	0.23127933	0.30876043
bin.0060	1.8809799	2.82338	1.3022933	1.3592616	1.1168385
bin.0061	0.19294222	0.29076222	0.20624067	0.21012115	0.18255979
bin.0062	0.1588077	0.29147056	0.1794021	0.17537886	0.14150278
bin.0063	0.9682808	0.7700532	0.63532996	0.65769374	0.5613069
bin.0064	0.16983202	0.0598527	0.23523898	0.21815926	0.27950692
bin.0065	0.05168497	0.021961115	0.053718667	0.052882027	0.0888709
bin.0066	0.15364696	0.16425839	0.1229451	0.12701833	0.13841319
bin.0067	1.356971	0.63370955	1.5236213	1.533366	1.8495959
bin.0068	0.10129572	0.03718563	0.12844476	0.1187996	0.16658351
