Genome	X2_cov.Relative.Abundance....	X4_cov.Relative.Abundance....	X3_cov.Relative.Abundance....	X1_cov.Relative.Abundance....	X104_cov.Relative.Abundance....
bin.0000	0.12643474	0.13358636	0.13338938	0.15082256	0.12566458
bin.0001	0.25178996	0.19872761	0.27168748	0.26323995	0.2669899
bin.0002	0.113213055	0.17217766	0.09404893	0.11079166	0.068922386
bin.0003	0.11337076	0.1739726	0.1123644	0.12148095	0.08187369
bin.0004	0.34473228	0.3168384	0.2645564	0.2713707	0.21663505
bin.0005	0.10820115	0.11649738	0.08819657	0.110262625	0.041668832
bin.0006	0.9101875	0.9883696	0.6478827	0.68528366	0.5877575
bin.0007	0.5266959	0.39106497	0.47585315	0.46602803	0.56805944
bin.0008	0.8770568	0.78708315	0.61467475	0.6254577	0.5449791
bin.0009	0.07922466	0.06888003	0.082844704	0.10804003	0.099883355
bin.0010	5.6181526	4.2322803	6.606885	6.453244	7.1906343
bin.0011	0.3175362	0.41903403	0.55169296	0.5296373	0.5565605
bin.0012	0.12641914	0.10748127	0.1029006	0.11929469	0.09471428
bin.0013	0.33410674	0.20830204	0.49527556	0.46440643	0.50184816
bin.0014	0.14393592	0.15249285	0.14516708	0.15744089	0.12207503
bin.0015	0.35276034	0.5602247	0.36858264	0.3676936	0.32011485
bin.0016	0.21743332	0.18345691	0.18021426	0.18361016	0.16225627
bin.0017	0.40999776	0.33155477	0.32681695	0.3293054	0.3106571
bin.0018	0.33728266	0.33633575	0.24956648	0.25631794	0.23507886
bin.0019	0.5748126	0.69693863	0.53027153	0.533588	0.49260646
bin.0020	0.15167518	0.04795698	0.16489767	0.16852453	0.17901614
bin.0021	0.3048907	0.23847619	0.25643283	0.26520845	0.28779766
bin.0022	0.11456324	0.16969042	0.09323935	0.10743549	0.06957494
bin.0023	0.10264119	0.11568583	0.07556527	0.09994308	0.05625667
bin.0024	0.06329975	0.0742711	0.097763516	0.111460686	0.10203809
bin.0025	0.40648076	0.5795397	0.27914366	0.30002612	0.36794025
bin.0026	0.05781163	0.048088584	0.114910476	0.1349381	0.12501772
bin.0027	7.995741	10.64687	5.36005	5.5755577	5.083835
bin.0028	0.16555327	0.2011733	0.1177921	0.12950894	0.08607533
bin.0029	0.35712975	0.48584577	0.42071205	0.39953443	0.3405243
bin.0030	0.25307107	0.18636005	0.21121727	0.21904145	0.22552483
bin.0031	0.11278989	0.16203931	0.12439085	0.13727829	0.09733378
bin.0032	0.094500475	0.042671494	0.13389416	0.13787338	0.15376936
bin.0033	0.37219426	0.32937777	0.26477897	0.27665603	0.25235006
bin.0034	0.10697963	0.06404547	0.104181826	0.11755298	0.111756146
bin.0035	0.2640876	0.27142474	0.1921289	0.20730719	0.16194543
bin.0036	0.071771905	0.05552944	0.057169177	0.08657194	0.05683003
bin.0037	0.23984407	0.26774848	0.26215884	0.2586635	0.1767767
bin.0038	0.182052	0.19295077	0.17914781	0.17931445	0.1668399
bin.0039	0.09947251	0.11046677	0.08956147	0.1029943	0.073269695
bin.0040	0.40582934	0.5545917	0.30285627	0.31671247	0.25317743
bin.0041	1.6311657	2.2160983	1.3218375	1.3599898	0.9224588
bin.0042	1.2491962	1.4222572	1.0314707	1.0839726	1.3608828
bin.0043	0.15484558	0.09060307	0.107615605	0.13260423	0.10000497
bin.0044	1.1395601	1.6804942	0.8127519	0.83889276	0.5824718
bin.0045	0.16282734	0.14254019	0.11918375	0.13248985	0.11143576
bin.0046	0.22295961	0.15368909	0.24082589	0.23734507	0.31219983
bin.0047	0.094441615	0.06771433	0.07985468	0.102552705	0.07702871
bin.0048	0.21863508	0.1541817	0.21986678	0.2246305	0.20860165
bin.0049	0.08328897	0.11104895	0.097413555	0.11987812	0.088649414
bin.0050	0.20239604	0.23918904	0.17772947	0.18257275	0.17730913
bin.0051	0.13910781	0.21971111	0.16792755	0.169155	0.14554185
bin.0052	0.13644214	0.13656706	0.10687124	0.12195229	0.08320147
bin.0053	1.1625152	1.3504549	0.8171	0.84824026	0.65943265
bin.0054	0.15958466	0.2912098	0.17891742	0.17830612	0.14439869
bin.0055	1.4206233	0.6408414	1.5823145	1.5656615	1.8925006
bin.0056	0.3080319	0.13539897	0.38360372	0.3777027	0.46363363
bin.0057	0.38191003	0.31337482	0.34523365	0.35166785	0.38784963
bin.0058	4.414689	3.44437	4.272993	4.2836347	4.41477
bin.0059	3.1964877	3.4138412	2.5089817	2.5675871	2.3989947
bin.0060	0.52071214	0.7057093	0.6393448	0.61985636	0.63010013
bin.0061	0.3247435	0.27776495	0.2613426	0.27350375	0.3098096
bin.0062	0.12270025	0.10547463	0.09671092	0.11459446	0.085744634
bin.0063	0.874383	0.5119036	0.85256755	0.87461853	1.0603694
bin.0064	0.15316261	0.12806831	0.21031816	0.20582645	0.20938063
bin.0065	3.853634	6.3812633	3.5834193	3.5830803	4.1002703
bin.0066	0.10666327	0.089499995	0.1322116	0.13760784	0.12775774
bin.0067	0.25749695	0.32080618	0.21534818	0.21239519	0.12143066
bin.0068	0.14237563	0.1504084	0.10751962	0.11985743	0.07826481
bin.0069	0.18455751	0.063503504	0.25534102	0.23800206	0.2894827
bin.0070	0.96340567	1.6847326	1.0112171	1.0265104	0.9378764
bin.0071	1.454953	1.4293529	1.1695842	1.2072229	1.1525309
bin.0072	0.16833168	0.15969032	0.12100319	0.13145964	0.1034729
bin.0073	1.1133577	0.146456	1.2960664	1.3083881	2.0644178
bin.0074	0.14993978	0.16121876	0.10679967	0.12219669	0.08677233
bin.0075	0.29742968	0.3443955	0.22488742	0.23330764	0.18946336
bin.0076	0.13076612	0.08072252	0.21280488	0.19994459	0.23336011
bin.0077	0.40435264	0.5242148	0.29264542	0.2986435	0.24087816
bin.0078	0.24290685	0.21896324	0.1819208	0.1959096	0.18332115
bin.0079	0.20169044	0.23262352	0.14654431	0.15788613	0.12571459
bin.0080	0.26753753	0.40212613	0.23938349	0.24851744	0.21034145
bin.0081	0.83396643	0.908139	0.5854801	0.61334217	0.5285071
bin.0082	2.037689	2.3761454	1.7814813	1.8178252	1.5762322
bin.0083	0.17055906	0.11228703	0.16826078	0.17458533	0.15982944
bin.0084	0.14695935	0.092371255	0.16486114	0.17393422	0.16786942
bin.0085	1.080157	1.5019505	0.7893824	0.8064619	0.5995067
bin.0086	0.22714198	0.26387236	0.14838076	0.1614282	0.14682275
bin.0087	1.9360019	2.900907	1.3367816	1.3806219	1.22255
bin.0088	0.15023808	0.15536655	0.14190464	0.15858887	0.13064936
bin.0089	0.1621588	0.08186562	0.16925074	0.1893955	0.17608511
bin.0090	0.8556298	0.39190814	1.5565515	1.4293349	1.7197195
bin.0091	0.8253912	1.1838595	0.6179054	0.630314	0.47570327
bin.0092	0.1191731	0.16200794	0.0705796	0.094019234	0.05661462
bin.0093	0.47267374	0.5928138	0.6631333	0.6205727	0.63575006
bin.0094	0.09831438	0.10544307	0.09250487	0.114987165	0.08642384
bin.0095	2.5902576	1.3651842	4.557812	4.292953	4.838182
bin.0096	0.57669467	0.17651007	1.1281294	1.0397588	1.4464332
bin.0097	1.1999395	1.352508	0.84222174	0.85429937	0.6793294
bin.0098	0.07868776	0.1182126	0.05959925	0.087006	0.040073726
bin.0099	1.7905014	1.9147388	1.3133048	1.331027	1.0965803
bin.0100	4.749059	5.079187	4.3187356	4.3145847	3.8594372
bin.0101	0.15163818	0.18411532	0.12844092	0.1418134	0.12816834
bin.0102	0.54806614	0.6194396	0.38354614	0.40497127	0.27923003
bin.0103	0.14271973	0.14171772	0.10867321	0.12528566	0.09662972
bin.0104	0.18536872	0.24255079	0.19115458	0.19294283	0.1617279
bin.0105	0.67710996	0.75761944	0.48355713	0.5007177	0.40980315
bin.0106	0.19103725	0.29357645	0.20780571	0.21763162	0.17725076
bin.0107	0.123599604	0.019816745	0.1367654	0.15365115	0.21541049
bin.0108	0.1991685	0.20645289	0.16585436	0.17703769	0.14462516
bin.0109	0.5335943	0.58670026	0.39377317	0.40435213	0.42372167
bin.0110	0.19544409	0.14903773	0.15333308	0.16859694	0.18377325
bin.0111	0.100935005	0.10439404	0.08348015	0.10529271	0.07820176
bin.0112	0.65522236	0.3256033	0.8426071	0.8106504	0.9357569
bin.0113	7.7472196	3.15664	12.975785	11.963758	13.506434
bin.0114	0.6226385	0.5676598	0.48845917	0.5196721	0.5445962
bin.0115	0.10662446	0.044797245	0.20976613	0.20079531	0.17642583
bin.0116	0.115568385	0.10419428	0.12517914	0.13303864	0.115176246
bin.0117	0.13285974	0.06502837	0.2938196	0.26553288	0.4034575
bin.0118	0.6110293	0.3752827	0.78589267	0.75771976	0.8149618
bin.0119	0.14915755	0.16109066	0.12822893	0.14216441	0.10891979
bin.0120	0.15769032	0.21104407	0.1506624	0.15679088	0.14096259
unmapped	14.332586	15.085387	13.882613	14.144969	13.223732
